"","start","end","survey_type","survey_id","survey_version","country","community","sex","gear_handline","gear_spear","gear_traps","gear_gill_net","gear_mobile_net","gear_stationary_line","gear_other","other_gear","tech_smartphone","tech_maps","tech_socialmedia","tech_other","tech_no_tech","other_tech","fishtech_vhf","fishtech_fishfinder","fishtech_survcam","fishtech_catchapp","fishtech_vesseltrack","fishtech_gps","fishtech_other","fishtech_none","other_fishtech","text_vms","choice","package_nopackage","wtp_1","wtp_2","wtp_3","wtp_4","wtr_1","wtr_2","wtr_3","wtr_4","design_a","design_b","design_c","design_d","design_e","design_f","design_g","design_h","design_i","fraction_personal","fraction_neighbor","fraction_local_trade","fraction_export","fraction_other","other_fraction","mpa","rank_one","rank_two","rank_three","rank_four","age","years_fishing","education","other_education","income","income_fishing","income_expenses"
"1",2019-06-27 07:08:51,2019-07-02 04:33:33,"D",1014,6,"IND","RAJ","M",1,0,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,1,"y","y","n",,,,,,1,0,0,1,1,0,0,0,0,100,0,0,0,0,,"y","weather","pollution","iuu","corruption",50,15,"vocational",,,,
"2",2019-06-29 07:03:46,2019-07-02 04:40:02,"D",1015,7,"IND","RAJ","M",1,0,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,1,1,"y","y","n",,,,,,0,0,0,1,0,0,0,1,1,25,0,75,0,0,,"y","pollution","iuu","weather","corruption",42,30,"secondary",,,,
"3",2019-06-29 07:17:28,2019-07-02 04:32:12,"D",1016,8,"IND","RAJ","M",1,0,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,2,1,"y","n",,,,,,,0,0,1,0,1,0,0,1,0,50,0,50,0,0,,"y","weather","pollution","iuu","corruption",37,16,"secondary",,,,
"4",2019-06-29 07:27:49,2019-07-02 04:22:39,"D",1017,9,"IND","RAJ","M",1,0,0,0,0,0,0,,1,0,0,0,0,,0,0,0,0,0,0,0,1,,,1,1,"y","y","n",,,,,,0,1,0,1,1,0,0,0,0,20,0,80,0,0,,"y",,,"weather",,40,15,"primary",,,,
"5",2019-06-29 07:35:53,2019-07-02 04:31:11,"D",1012,10,"IND","RAJ","M",1,0,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,,0,1,,,2,1,"y","n",,,,,,,0,0,1,0,0,0,1,0,1,25,0,75,0,0,,"y",,,,"pollution",52,30,"vocational",,,,
"6",2019-06-29 10:18:00,2019-07-02 04:29:42,"D",1001,3,"IND","RAJ","M",1,0,0,0,0,0,0,,1,0,1,0,0,,0,0,0,0,0,0,0,1,,,1,0,,,,,"n","y",,,0,0,1,1,0,0,0,1,0,10,0,90,0,0,,"y","pollution","iuu","weather","corruption",19,1,"secondary","Junior high school equivalent",1e+06,100,50
"7",2019-06-29 11:25:55,2019-07-02 04:27:37,"D",1002,14,"IND","RAJ","M",1,0,0,0,0,0,0,,1,1,0,0,0,,1,1,0,0,1,0,0,0,"VMS",,2,1,"y","y","n",,,,,,0,0,0,0,0,0,1,1,1,50,25,25,0,0,,"y","weather","iuu","corruption","pollution",41,25,"secondary",,1e+06,100,80
"8",2019-06-29 11:47:45,2019-07-02 04:23:44,"D",1003,10,"IND","RAJ","M",1,0,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,2,1,"n",,,,,,,,0,0,1,0,0,0,1,1,0,60,40,0,0,0,,"y",,,,"pollution",68,55,"primary",,1500000,30,20
"9",2019-06-29 12:00:41,2019-07-02 04:13:27,"D",1004,5,"IND","RAJ","M",1,1,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,1,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,0,0,20,0,0,,"y","pollution",,,,56,15,"primary",,1e+06,100,50
"10",2019-06-29 14:37:29,2019-07-02 04:08:45,"D",1005,11,"IND","RAJ","M",1,1,0,0,0,0,0,,0,0,0,0,1,,0,0,0,0,0,0,0,1,,,1,1,"y","y","n",,,,,,0,0,1,1,1,0,0,0,0,50,50,0,0,0,"Mayoritas untuk dijual untuk rumah sendiri duku baru ke tetangga.. mayiritas untuk jual","y",,"weather","pollution",,59,30,"secondary","Junior high school equivalent",,100,20
